IDCode,Section Sum,mjon1,mjon2,mjon3,mjon4,mjon5,mjon6,mjon7,mjon8,mjon9,mjon10,mjon11,mjon12,mjon13,mjon14,mjon15,mjon16,mjon17,mjon18,mjon19,mjon20,mjon21,mjon22,mjon23,mjon24,mjon25,mjon26,mjon27,mjon28,mjon29,mjon30,mjon31,mjon32,mjon33,mjon34,mjon35,mjon36
0216MaLov,94,3,1,2,3,3,1,3,3,2,1,1,2,3,2,1,2,1,1,1,2,2,4,4,4,4,4,4,4,3,2,4,4,4,3,3,3
0917CiDak,96,1,1,2,1,2,1,3,2,2,2,1,2,3,2,1,3,2,2,1,1,1,4,1,5,4,5,4,4,4,3,5,5,5,3,3,5
0511sawoo,97,2,2,2,3,3,2,4,3,2,2,2,2,4,2,1,1,2,3,,2,1,4,3,3,3,3,4,4,4,3,5,5,4,3,1,3
0117JeLog,76,1,1,1,2,3,1,2,1,1,1,1,1,3,1,2,1,3,2,1,1,1,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3
0120MCha,99,4,5,5,4,5,5,5,5,1,1,1,2,2,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0625LiMou,111,4,3,2,4,4,4,4,3,4,3,2,4,4,3,3,2,3,1,4,3,2,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3
0516MoAn,109,3,3,3,3,4,3,4,3,2,2,2,2,3,2,3,2,2,2,3,3,2,4,3,4,4,4,3,4,4,2,3,3,4,3,4,4
0817KrAra,82,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,4,4,4,4,4,4,1,4,3,4,4,4,2,4,4
0711DeDes,88,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,5,3,4,5,4,3,4,4,4,5,4,4,5,4,5
[Decline to Answer],83,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,4,4,4,4,4,4,4,4,3,5,3,4,3,4,3
0823chapt,88,1,1,1,2,3,1,2,1,2,1,2,2,3,1,1,1,1,1,1,1,1,5,3,4,4,4,4,4,4,3,4,4,4,3,4,4
0618SyFai,113,4,4,4,3,5,5,4,5,5,3,5,3,3,4,4,4,4,4,4,3,5,2,2,2,2,2,2,1,3,1,2,1,2,2,3,1
1028CoGra,93,1,1,4,2,3,1,3,3,2,1,1,1,2,1,1,1,1,1,1,1,1,5,4,4,5,5,4,3,4,5,3,3,5,2,4,4
0418ELWIN,123,3,3,4,4,4,5,5,4,4,4,4,4,4,2,2,2,3,2,3,4,2,3,4,3,4,3,3,4,3,2,4,2,4,4,4,4
0918betre,99,2,2,2,3,3,3,2,4,2,2,1,3,3,2,2,2,3,4,2,3,2,3,3,3,3,4,3,3,3,2,3,3,4,3,3,4
0315TaBat,74,1,1,2,1,3,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,1,4,3,3,4,3,4,3,1,3,3,3,2,1,3,4
1129myove,89,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,3,4,4,4,5,5,5,4,3,5,4,4,4,3,5
1003vimar,134,5,4,5,4,5,5,5,4,4,3,4,4,4,3,3,2,4,3,3,3,4,4,3,4,4,4,4,4,3,3,4,2,3,4,4,3
0925tesum,122,4,3,4,4,3,2,4,4,5,4,5,4,5,4,2,3,4,4,4,4,2,4,3,2,3,3,2,3,3,4,2,3,4,3,2,3
0124sucen,82,1,1,1,1,1,1,2,1,1,2,2,2,3,1,1,1,2,1,1,1,1,4,4,4,4,3,3,3,4,3,4,3,4,4,4,3
0426KRDCH,88,1,2,3,3,3,3,4,1,2,2,2,2,2,1,1,2,2,1,1,2,1,3,1,3,4,3,4,5,5,5,5,1,1,4,2,1
0209ReDen,103,3,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0520amsac,99,2,3,3,3,3,2,3,3,3,2,2,2,3,2,3,2,3,2,3,3,1,3,3,3,3,4,3,4,3,2,3,3,3,3,3,3
0709RiStv,82,1,1,1,1,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,4,4,4,5,3,4,4,3,3,4,4,3,3,4,5
[Decline to Answer],98,1,2,3,1,2,2,3,1,2,2,2,3,3,1,1,2,3,1,2,3,1,4,1,3,4,4,4,4,3,3,5,4,5,5,4,4
0603ShGra,93,1,3,1,2,3,2,2,2,1,1,2,3,2,1,1,1,2,1,1,1,1,4,4,4,5,4,4,4,4,3,3,5,4,3,4,4
0408BrRam,110,2,4,4,4,5,4,5,4,3,3,2,2,3,1,1,2,2,2,2,3,2,3,2,3,4,4,3,4,3,2,4,3,4,3,4,4
1124tenot,79,1,1,2,1,2,1,2,2,2,1,1,2,3,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4
1299631,112,2,3,3,3,4,3,4,3,4,4,3,4,4,1,1,3,3,2,1,2,2,3,2,4,4,4,4,4,4,4,1,3,3,4,5,4
18krdareg,101,3,1,2,4,2,2,3,2,2,1,1,2,2,1,1,4,2,2,1,2,1,4,4,4,4,4,4,5,4,3,5,3,4,4,4,4
0103IrReg,95,2,3,3,2,4,3,4,3,1,2,1,2,3,1,3,2,3,2,3,3,2,3,3,3,3,3,2,3,4,3,3,2,3,3,2,3
1001GrMon,92,1,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,4,5,4,5,4,4,4,4,4,5,3,4,4,3,5
0514dapot,103,2,1,2,2,3,3,3,4,3,2,1,2,3,2,2,2,3,3,2,2,2,4,4,3,4,4,4,3,4,3,4,2,4,4,4,3
0718MeSou,115,3,2,3,4,3,3,3,4,5,3,4,3,4,2,1,3,3,3,3,3,3,4,2,4,4,4,4,4,3,4,1,3,4,3,3,3
0406kileg,109,2,4,4,2,5,4,4,3,4,3,1,4,4,2,3,2,3,2,3,3,2,3,3,3,3,3,3,4,4,2,3,2,3,3,3,3
2805NaPro,89,2,3,2,3,3,3,4,2,1,1,1,1,3,2,2,1,3,2,2,2,1,3,5,3,3,3,2,2,3,3,3,3,3,4,2,3
1012LuLeg,118,3,3,5,4,3,4,4,4,4,3,4,4,4,2,3,3,4,4,3,3,3,2,4,3,2,4,3,4,4,2,2,3,2,3,3,3
1021TaSan,95,2,1,1,3,3,1,2,2,2,2,3,3,2,1,3,1,2,2,1,2,2,3,2,4,5,4,3,5,4,4,4,4,4,3,2,3
0413IrJoh,101,2,1,2,3,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,2,4,3,4,4,4,4,3,4,3,4,4,3,3,3,4
1121romou,95,3,2,2,2,3,1,3,2,3,2,2,3,3,2,1,2,3,2,1,2,2,4,4,3,4,3,4,3,4,2,3,3,3,3,3,3
1123LeLon,88,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
[Decline to Answer],106,2,1,3,3,4,2,2,3,2,3,2,4,3,2,2,1,3,2,4,3,1,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3
0224MaFai,98,2,2,2,2,4,1,3,3,2,2,1,2,3,2,1,2,3,2,3,3,1,3,4,3,4,3,4,4,3,3,3,4,3,3,4,4
0202AmWin,99,2,1,3,2,3,1,3,2,1,1,1,1,2,1,1,1,3,3,1,3,2,5,4,4,5,4,4,4,4,3,4,4,5,3,3,5
0220GIHER,88,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
[Decline to Answer],89,1,1,2,1,1,3,3,2,1,1,1,1,2,1,1,1,2,1,1,1,1,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4
0222jubblo,90,1,1,2,1,3,3,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,4,4,4,5,4,4,4,4,3,5,4,4,4,4,4
1229JuLas,86,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0710AmMou,100,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1012LuUni,100,4,2,5,3,4,4,4,4,5,2,2,3,3,3,3,5,4,2,4,4,3,2,2,2,1,2,2,2,2,2,1,1,2,3,1,2
0920MaFra,110,3,4,4,4,3,5,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,2,,3,3,2,3,2,2,2,2,2,3,1,3
0811BrRoc,107,4,5,5,5,5,5,5,5,5,2,2,2,3,5,3,4,5,1,5,5,5,1,1,1,1,1,1,2,1,3,1,1,3,1,2,1
0520MoCas,110,3,4,4,2,3,4,4,4,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3
0620DiReg,96,3,2,2,3,3,2,3,3,1,1,1,1,1,2,2,1,2,2,2,3,1,3,4,3,4,4,3,4,4,5,4,4,4,3,3,3
0315JeAse,94,2,3,3,3,3,3,4,4,3,3,2,3,3,2,2,2,3,2,2,3,3,3,2,3,4,3,3,1,3,3,3,3,,2,1,2
0406MiFai,86,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,3,5,4,4,4,4,5,5,5,4,4,4,4,4
0316ViOak,94,1,1,1,3,2,1,2,3,1,2,1,2,2,1,1,1,3,1,2,3,1,4,4,3,4,4,4,4,5,4,4,3,5,4,3,4
0227junor,109,2,3,2,4,4,3,5,4,3,3,3,4,3,3,3,2,2,1,3,3,1,4,4,2,4,3,2,4,3,4,2,2,3,4,3,4
0308TiLeg,107,2,2,4,2,3,4,4,4,3,2,2,3,3,2,2,3,3,3,2,2,2,4,3,3,4,4,3,3,3,4,3,3,3,2,4,4
0918TrBet,100,3,1,2,2,3,1,3,1,1,1,1,2,2,1,1,4,2,1,1,2,1,4,4,4,5,4,3,4,5,3,5,5,5,4,4,5
22katox,83,2,2,2,2,4,,4,4,3,,2,2,4,,3,2,4,1,3,3,2,2,2,3,3,3,2,2,3,2,3,,3,3,3,
0104AmFri,101,1,1,1,1,3,1,3,1,1,1,1,2,2,1,5,1,2,1,1,1,1,5,4,4,5,4,5,5,5,4,5,5,4,4,5,5
0830ShNor,104,4,4,4,2,4,4,4,3,2,2,1,3,2,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
0711olsan,79,1,1,3,2,2,3,2,1,4,2,1,2,2,2,2,3,3,3,2,3,2,1,1,1,2,1,3,2,2,5,2,3,5,2,2,1
0620stmon,84,1,1,2,1,4,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,4,3,4,4,4,4,4,3,4,3,3,3,3,3,4
0923MaYok,94,2,1,1,2,3,1,2,2,1,2,2,2,3,1,1,1,2,1,1,1,1,4,4,4,4,4,4,5,4,3,4,4,4,5,4,4
0708JuAra,96,2,1,2,3,2,1,2,2,3,2,1,1,1,1,2,1,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,3,5,4,3,5
[Decline to Answer],92,1,1,1,1,2,1,2,3,3,2,1,2,1,1,1,1,2,3,2,3,1,4,3,4,4,4,4,3,4,4,3,4,5,2,5,4
0817JeLov,114,3,2,3,2,4,2,4,2,2,2,2,3,3,2,4,2,4,3,3,3,2,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4
0313krmou,101,3,2,3,3,3,2,4,4,4,3,2,3,4,2,3,3,3,2,3,3,2,3,2,2,3,3,2,3,3,3,2,3,3,2,3,3
1206defor,97,1,3,3,1,2,1,3,2,2,3,2,2,3,1,2,1,1,1,1,3,1,4,4,3,4,4,3,4,4,3,5,4,4,4,4,4
1226ArFai,92,2,1,3,3,1,1,2,1,2,1,1,1,3,1,1,1,3,1,1,2,2,4,4,4,4,4,4,4,4,3,4,4,4,3,3,5
0704SaLeg,110,3,3,3,3,3,3,4,4,2,4,1,2,3,2,2,2,4,3,1,3,1,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4
0910shmou,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1221arSka,80,1,3,1,2,2,1,4,1,1,2,1,2,2,1,1,2,1,1,1,2,1,4,3,4,4,3,3,3,3,3,4,3,3,3,1,3
1204shpue,101,1,1,2,2,3,2,3,3,2,3,2,3,3,1,1,1,3,2,3,2,3,3,4,4,4,4,3,4,4,4,3,3,4,4,3,4
0705AnGle,93,2,1,1,1,3,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,4,3,4,4,5,4,4,4,4,5,4,5,4,4,4
1006TeMou,92,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,4,5,5,5,5,4,3,3,4,5,5,4,4,5
0816Kamon,95,2,2,2,2,4,3,4,3,1,2,1,2,2,1,1,1,2,1,2,3,1,4,3,3,4,4,3,4,4,4,3,3,4,4,3,3
